"","ID","Timepoint","L2_SE"
"406","User #25303","Timepoint 29",2.68543141522062
"407","User #25303","Timepoint 3",0
"408","User #25303","Timepoint 30",3.16060600407232
"409","User #25303","Timepoint 31",1.64147200534044
"410","User #25303","Timepoint 32",1.924644085568
"411","User #25303","Timepoint 33",1.76929567889779
"412","User #25303","Timepoint 34",2.9120483125342
"413","User #25303","Timepoint 35",1.71413138230141
"414","User #25303","Timepoint 36",1.87605045786178
"415","User #25303","Timepoint 37",1.69659950752276
"416","User #25303","Timepoint 38",1.552717025574
"417","User #25303","Timepoint 39",1.96449483714443
"418","User #25303","Timepoint 4",0
"419","User #25303","Timepoint 40",2.30933797779371
"420","User #25303","Timepoint 41",1.70983296870969
"421","User #25303","Timepoint 42",1.95211550997314
"422","User #25303","Timepoint 43",2.29597553880094
"423","User #25303","Timepoint 44",1.88256483001819
"424","User #25303","Timepoint 45",1.54637210505471
"425","User #25303","Timepoint 46",1.72557039931937
"426","User #25303","Timepoint 47",1.84442683545234
"427","User #25303","Timepoint 48",2.04291499028012
"428","User #25303","Timepoint 49",1.7167816383162
"429","User #25303","Timepoint 5",0
"430","User #25303","Timepoint 50",1.67165209186545
"431","User #25303","Timepoint 51",2.06439770987699
"432","User #25303","Timepoint 52",2.06856555749291
"433","User #25303","Timepoint 53",1.86188179265727
"434","User #25303","Timepoint 54",1.79548304615332
"435","User #25303","Timepoint 55",1.85348425390365
"436","User #25303","Timepoint 56",1.74779849982489
"437","User #25303","Timepoint 57",1.59522974074854
"438","User #25303","Timepoint 58",1.69011382028098
"439","User #25303","Timepoint 59",1.83445016843093
"440","User #25303","Timepoint 6",0
"441","User #25303","Timepoint 60",1.98975552828264
"442","User #25303","Timepoint 61",1.53440794802254
"443","User #25303","Timepoint 62",1.73033068272074
"444","User #25303","Timepoint 63",1.74610135118226
"445","User #25303","Timepoint 64",2.53946716580796
"446","User #25303","Timepoint 7",0
"447","User #25303","Timepoint 8",0
"448","User #25303","Timepoint 9",0
"449","User #25304","Timepoint 1",0
"450","User #25304","Timepoint 10",0
"451","User #25304","Timepoint 11",0
"452","User #25304","Timepoint 12",0
"453","User #25304","Timepoint 13",0
"454","User #25304","Timepoint 14",0
"455","User #25304","Timepoint 15",0
"456","User #25304","Timepoint 16",0
"457","User #25304","Timepoint 17",1.45562841370222
"458","User #25304","Timepoint 18",1.96603002879707
"459","User #25304","Timepoint 19",2.47034164843652
"460","User #25304","Timepoint 2",0
"461","User #25304","Timepoint 20",3.2507887274868
"462","User #25304","Timepoint 21",1.52810351526903
"463","User #25304","Timepoint 22",1.71533659176829
"464","User #25304","Timepoint 23",1.56763173491785
"465","User #25304","Timepoint 24",1.66115085461279
"466","User #25304","Timepoint 25",1.82397476342005
"467","User #25304","Timepoint 26",2.18340121342895
"468","User #25304","Timepoint 27",1.53758564750016
